fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean,p_02_median,p_12_median,p_02_low_95,p_12_low_95,p_12_high_95,p_12_high_95
0,USA,2025-11-15,2025-11-29,0.9243790248390065,0.9891743119266055,0.9244050518725624,0.9892042173553495,0.919335546928982,0.9871482001760538,0.9910304965886821,0.9910304965886821
1,AL,2025-11-15,2025-11-29,0.8518518518518519,0.9939393939393939,0.8535914242490646,0.9957824119130259,0.7874624533210649,0.9777579177961985,0.9998456350375441,0.9998456350375441
2,AK,2025-11-15,2025-11-29,0.75,0.967741935483871,0.7552582744087448,0.9726385458296779,0.5890361338613267,0.9120118770772547,0.9960043968326835,0.9960043968326835
4,AZ,2025-11-15,2025-11-29,0.924812030075188,0.9877300613496932,0.9269374023191581,0.9896614944772362,0.8745154108055155,0.9660885210251651,0.9985013684487405,0.9985013684487405
5,AR,2025-11-15,2025-11-29,1.0,1.0,,,,,,
6,CA,2025-11-15,2025-11-29,0.9118198874296435,0.9946714031971581,0.9123348813469364,0.995244737881898,0.8863503720598205,0.9872043006655916,0.9988978041577531,0.9988978041577531
8,CO,2025-11-15,2025-11-29,0.9839743589743589,0.9912280701754386,0.9849971890709617,0.9921659264525964,0.967398044864243,0.9789749214102773,0.9981820245735529,0.9981820245735529
9,CT,2025-11-15,2025-11-29,0.9632352941176471,0.9939759036144579,0.9654865119073015,0.9958079194005148,0.9258748425408608,0.9778912170183289,0.9998465705109972,0.9998465705109972
10,DE,2025-11-15,2025-11-29,0.8947368421052632,0.9852941176470589,0.9016512858384947,0.9897078501065013,0.7809037937619998,0.9464303458729032,0.9996221936556889,0.9996221936556889
11,DC,2025-11-15,2025-11-29,0.7818181818181819,0.9882352941176471,0.785251473949712,0.9917822001045341,0.6646950805107505,0.9570350803704349,0.9996986429411597,0.9996986429411597
12,FL,2025-11-15,2025-11-29,0.8900709219858156,0.9628339140534262,0.8902246169619724,0.9630129915961744,0.874740897888767,0.9534050906055084,0.9712454367303858,0.9712454367303858
13,GA,2025-11-15,2025-11-29,0.9260355029585798,0.9918478260869565,0.9268752070725954,0.9927204193850898,0.8958865595006014,0.9804538310235776,0.9983110620153228,0.9983110620153228
15,HI,2025-11-15,2025-11-29,0.9722222222222222,0.9927536231884058,0.9750873396144807,0.994953309081075,0.9341081030075673,0.9734331489037167,0.9998152155566152,0.9998152155566152
16,ID,2025-11-15,2025-11-29,1.0,0.9824561403508771,,0.9851918652801371,,0.9516793514358977,0.9978493216840143,0.9978493216840143
17,IL,2025-11-15,2025-11-29,0.9750889679715302,0.9935691318327974,0.9762083293542826,0.9945918967446193,0.9539449143722696,0.9821589247136217,0.9992177225518204,0.9992177225518204
18,IN,2025-11-15,2025-11-29,0.9565217391304348,0.9957805907172996,0.9579859695075803,0.9970672446294258,0.9249163117402605,0.9844906824982426,0.9998927269067788,0.9998927269067788
19,IA,2025-11-15,2025-11-29,0.9622641509433962,0.9879518072289156,0.9679337275112944,0.9915826118753231,0.8974464553478823,0.9560105458131576,0.9996912939036298,0.9996912939036298
20,KS,2025-11-15,2025-11-29,0.94,0.975,0.9458010457538777,0.9788460581556995,0.8602128129775362,0.9314800905132279,0.99691921921458,0.99691921921458
21,KY,2025-11-15,2025-11-29,0.7948717948717948,0.9115646258503401,0.7965558225636314,0.9134295882397853,0.7174931744366801,0.8608290508124857,0.9517347246449163,0.9517347246449163
22,LA,2025-11-15,2025-11-29,0.9380281690140845,0.9974025974025974,0.9388498272761692,0.9981965573777615,0.9107470145618688,0.9904395376958758,0.999934070381827,0.999934070381827
23,ME,2025-11-15,2025-11-29,0.8913043478260869,0.9736842105263158,0.8969721666231354,0.9777229426877062,0.7877882630456604,0.9279365027568325,0.9967540690710339,0.9967540690710339
24,MD,2025-11-15,2025-11-29,0.9476190476190476,0.9958333333333333,0.9490359941465972,0.9971040041015853,0.913770121220124,0.9846838615500954,0.9998940733596425,0.9998940733596425
25,MA,2025-11-15,2025-11-29,0.6983240223463687,0.9952153110047847,0.6990641206562725,0.9966731080419281,0.6292774430560275,0.9824213420993693,0.9998782871769131,0.9998782871769131
26,MI,2025-11-15,2025-11-29,0.9042553191489362,0.9954128440366973,0.9056883665212513,0.9968108694758918,0.8584366738246005,0.9831442307821885,0.9998833348797096,0.9998833348797096
27,MN,2025-11-15,2025-11-29,0.9121621621621622,0.949438202247191,0.9140171647989177,0.9511153149132894,0.8617460737103234,0.9128872887975383,0.9764887741943269,0.9764887741943269
28,MS,2025-11-15,2025-11-29,0.9545454545454546,0.9915254237288136,0.9579550247423467,0.9940931793914194,0.9025191657757377,0.9689629683068884,0.9997836318897233,0.9997836318897233
29,MO,2025-11-15,2025-11-29,0.9661016949152542,0.9932432432432432,0.9687048386758333,0.9952958125702418,0.9268932096293925,0.9752178295104192,0.999827784844445,0.999827784844445
30,MT,2025-11-15,2025-11-29,0.8888888888888888,0.9866666666666667,0.8946484427819741,0.9906768785323466,0.7833134105347255,0.9513723837620105,0.9996579259803352,0.9996579259803352
31,NE,2025-11-15,2025-11-29,0.9459459459459459,0.9850746268656716,0.9538158131528833,0.9895527258544647,0.8547107352531467,0.945641152829878,0.9996164704150047,0.9996164704150047
32,NV,2025-11-15,2025-11-29,0.9193548387096774,0.9891304347826086,0.9238473458386981,0.9924119338606987,0.8405310453592895,0.9602735023081505,0.9997218210287899,0.9997218210287899
33,NH,2025-11-15,2025-11-29,0.8571428571428571,0.9746835443037974,0.8620142748384332,0.9785760315044056,0.7475394913580472,0.930627259214395,0.996879527517066,0.996879527517066
34,NJ,2025-11-15,2025-11-29,0.9967105263157895,0.9970059880239521,0.99771500013855,0.9979206418020561,0.9878992899779208,0.9889834158759613,0.9999239734367593,0.9999239734367593
35,NM,2025-11-15,2025-11-29,0.945054945054945,0.9917355371900827,0.9482939936556236,0.9942404238175473,0.8900991731219863,0.9697270274225799,0.9997890405218783,0.9997890405218783
36,NY,2025-11-15,2025-11-29,0.8045602605863192,0.980127186009539,0.8047256376973331,0.9803811294699676,0.781928424649446,0.97172352787985,0.9870887952429646,0.9870887952429646
37,NC,2025-11-15,2025-11-29,0.7313432835820896,0.9939879759519038,0.7316723643943323,0.9946340333486257,0.6903614902044499,0.9855684970310594,0.9987559593966737,0.9987559593966737
38,ND,2025-11-15,2025-11-29,0.9411764705882353,0.984375,0.9496602608260688,0.9890579681360733,0.8424060277275032,0.9431276476679837,0.9995982107709152,0.9995982107709152
39,OH,2025-11-15,2025-11-29,0.9893992932862191,0.9968051118210862,0.9905288407485047,0.9977808404048861,0.974616774691177,0.9882462893472557,0.9999188564718517,0.9999188564718517
40,OK,2025-11-15,2025-11-29,0.84375,0.9468085106382979,0.8473401949068572,0.9499559186601024,0.7460585493565118,0.8935243096884598,0.9823150001939213,0.9823150001939213
41,OR,2025-11-15,2025-11-29,0.7037037037037037,0.990990990990991,0.7053875032356406,0.9937184737897888,0.6004548866879795,0.9670208059677803,0.9997698645944497,0.9997698645944497
42,PA,2025-11-15,2025-11-29,1.0,0.9985693848354793,,0.9990074453719121,,0.9947290130758248,0.999963728726609,0.999963728726609
44,RI,2025-11-15,2025-11-29,1.0,0.9864864864864865,,0.9905497699000321,,0.9507229391041407,0.9996532408474009,0.9996532408474009
45,SC,2025-11-15,2025-11-29,0.9924812030075187,0.9938650306748467,0.9947626479992424,0.9957304542373292,0.9724408222765425,0.9774864385471945,0.99984372944618,0.99984372944618
46,SD,2025-11-15,2025-11-29,0.9615384615384616,0.9821428571428571,0.9726549474122855,0.9874764051511072,0.8628148284692875,0.9351292391745754,0.9995397821512043,0.9995397821512043
47,TN,2025-11-15,2025-11-29,0.9550561797752809,0.9951923076923077,0.9567527233741341,0.9966570629937589,0.9202161560660468,0.9823371754637865,0.9998776992282173,0.9998776992282173
48,TX,2025-11-15,2025-11-29,0.9750195160031225,0.996186117467582,0.9752663765810765,0.9964353335941892,0.9657984322528114,0.9922006012392233,0.9987595715004796,0.9987595715004796
49,UT,2025-11-15,2025-11-29,1.0,0.9908256880733946,,0.9936025221110335,,0.9664204497813456,0.9997656033271909,0.9997656033271909
50,VT,2025-11-15,2025-11-29,0.9565217391304348,0.9811320754716981,0.9689844739012624,0.9867586942598652,0.8456274871844254,0.9315177912966804,0.9995132375845079,0.9995132375845079
51,VA,2025-11-15,2025-11-29,0.9854368932038835,0.9830508474576272,0.9869772258004006,0.9843965325135733,0.9652038739032769,0.9631478068095646,0.995343293407071,0.995343293407071
53,WA,2025-11-15,2025-11-29,0.9557522123893806,0.993006993006993,0.9584201272982295,0.9951305760994829,0.9110785264165705,0.9743565015155368,0.9998217214710814,0.9998217214710814
54,WV,2025-11-15,2025-11-29,0.9090909090909091,0.9841269841269841,0.9173098400475259,0.9888824684134271,0.7919305701049926,0.942237365570709,0.9995917316225427,0.9995917316225427
55,WI,2025-11-15,2025-11-29,0.9897959183673469,0.9921875,0.9928796236375923,0.9945570151981707,0.9626843630912639,0.9713714938656124,0.9998006670506788,0.9998006670506788
56,WY,2025-11-15,2025-11-29,0.7948717948717948,0.9855072463768116,0.7999454260599012,0.9898584351357704,0.6567380056890788,0.9471969572063602,0.9996277485971014,0.9996277485971014
72,PR,2025-11-15,2025-11-29,0.9893842887473461,1.0,0.9900689858744584,,0.9783537106975166,,,
